A,0.3500,-2,0,6.400000e-03,16
A,0.3500,-1,0,2.216000e-01,554
A,0.3500,0,0,5.292000e-01,1323
A,0.3500,1,0,2.328000e-01,582
A,0.3500,2,0,1.000000e-02,25
K,0.3500,0,0,0.518617,1
C,0.3500,0,0,2.002884,2500
C2,0.3500,0,0,1.468809,2500
B,0.3500,0,0,1.724000,25
B,0.3500,2,0,0.928000,25
B,0.3500,3,0,-1,0
D,0.3500,0,0.40,1.000000,250
D,0.3500,2,0.40,0.736000,250
D,0.3500,0,0.50,1.000000,250
D,0.3500,2,0.50,0.464000,250
D,0.3500,0,0.60,0.968000,250
D,0.3500,2,0.60,0.176000,250
D,0.3500,0,0.70,0.824000,250
D,0.3500,2,0.70,0.052000,250
D,0.3500,0,0.80,0.672000,250
D,0.3500,2,0.80,0.028000,250
D,0.3500,0,0.90,0.564000,250
D,0.3500,2,0.90,0.012000,250
D,0.3500,0,1.00,0.512000,250
D,0.3500,2,1.00,0.008000,250
